Rk,Season,Decade Year,Conf,W Overal,L Overal,W-L% Overal,W Conference,L Conference,W-L% Conference,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
78,1942,3,Big Ten,10,8,0.556,4,8,0.333,,,,,,,,,,Bennie Oosterbaan (10-8)
79,1941,2,Big Ten,6,14,0.3,5,10,0.333,,,,,,,,,,Bennie Oosterbaan (6-14)
80,1940,1,Big Ten,9,10,0.474,5,7,0.417,,,,,,,,,,Bennie Oosterbaan (9-10)
81,1939,10,Big Ten,13,7,0.65,6,6,0.5,,,,,,,,,,Bennie Oosterbaan (13-7)
82,1938,9,Big Ten,11,9,0.55,4,8,0.333,,,,,,,,,,Bennie Oosterbaan (11-9)
83,1937,8,Big Ten,12,8,0.6,6,6,0.5,,,,,,,,,,Cappy Cappon (12-8)
84,1936,7,Big Ten,16,4,0.8,9,3,0.75,,,,,,,,,,Cappy Cappon (16-4)
85,1935,6,Big Ten,15,5,0.75,7,5,0.583,,,,,,,,,,Cappy Cappon (15-5)
86,1934,5,Big Ten,8,12,0.4,2,10,0.167,,,,,,,,,,Cappy Cappon (8-12)
87,1933,4,Big Ten,6,14,0.3,4,8,0.333,,,,,,,,,,Cappy Cappon (6-14)
88,1932,3,Big Ten,10,8,0.556,8,4,0.667,,,,,,,,,,Cappy Cappon (10-8)
89,1931,2,Big Ten,11,6,0.647,8,4,0.667,,,,,,,,,,Cappy Cappon (11-6)
90,1930,1,Big Ten,13,4,0.765,8,4,0.667,,,,,,,,,,George Veenker (13-4)
91,1929,10,Big Ten,9,5,0.643,6,4,0.6,,,,,,,,,,George Veenker (9-5)
92,1928,9,Big Ten,13,3,0.813,10,2,0.833,,,,,,,,,,George Veenker (13-3)
93,1927,8,Big Ten,10,7,0.588,7,5,0.583,,,,,,,,,,E.J. Mather (10-7)
94,1926,7,Big Ten,14,3,0.824,10,2,0.833,,,,,,,,,,E.J. Mather (14-3)
95,1925,6,Big Ten,12,5,0.706,8,4,0.667,,,,,,,,,,E.J. Mather (12-5)
96,1924,5,Big Ten,8,6,0.571,6,5,0.545,,,,,,,,,,E.J. Mather (8-6)
97,1923,4,Big Ten,10,7,0.588,6,6,0.5,,,,,,,,,,E.J. Mather (10-7)
98,1922,3,Big Ten,11,4,0.733,8,4,0.667,,,,,,,,,,E.J. Mather (11-4)
99,1921,2,Big Ten,15,4,0.789,8,4,0.667,,,,,,,,,,E.J. Mather (15-4)
100,1920,1,Big Ten,18,4,0.818,8,4,0.667,,,,,,,,,,E.J. Mather (18-4)
